frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
947,249.0286,79.0833,75.3842,11.6956,,false,9,0.008333,3.0291,0.0750,1.00,0.99,3.9094,22,1,40,0,53760,191,191,0,0,828579840,11.6956,0.0911,3.0291,1.2864,0.0000,0.0000
948,249.1108,79.1667,82.5648,11.1157,,false,10,0.008333,3.5013,0.0833,1.00,1.00,3.1408,22,1,40,0,53760,191,191,0,0,828579840,11.1157,0.0783,3.5013,1.3323,0.0000,0.0000
949,249.2080,79.2500,83.8912,24.6717,,false,10,0.008333,3.5086,0.0833,1.00,0.99,3.6987,22,1,40,0,53760,191,191,0,0,828579840,24.6717,0.0859,3.5086,15.2550,0.0000,0.0000
950,249.2689,79.3250,75.0385,10.6513,,false,9,0.008333,2.9712,0.0750,1.00,1.00,3.7372,22,1,40,0,53760,191,191,0,0,828579840,10.6513,0.0788,2.9712,1.2596,0.0000,0.0000
951,249.3517,79.4083,83.1082,10.3517,,false,10,0.008333,3.4685,0.0833,1.00,1.00,3.5121,22,1,40,0,53760,191,191,0,0,828579840,10.3517,0.0716,3.4685,1.1357,0.0000,0.0000
952,249.4283,79.4833,74.9445,11.9113,,false,9,0.008333,2.9838,0.0750,1.00,1.00,3.4566,22,1,40,0,53760,191,191,0,0,828579840,11.9113,0.0763,2.9838,1.1549,0.0000,0.0000
953,249.5120,79.5667,83.2691,12.4005,,false,10,0.008333,4.5374,0.0833,1.00,1.00,3.3924,22,1,40,0,53760,191,191,0,0,828604416,12.4005,0.0910,4.5374,1.5202,0.0000,0.0000
954,249.6021,79.6417,75.1723,27.4313,,false,9,0.008333,4.1755,0.0750,1.00,1.00,3.5647,22,1,40,0,53760,191,191,0,0,828604416,27.4313,0.0963,4.1755,16.9208,0.0000,0.0000
955,249.6771,79.7333,91.6769,10.6718,,false,11,0.008333,3.5055,0.0917,1.00,1.00,3.5750,22,1,40,0,53760,191,191,0,0,828604416,10.6718,0.0681,3.5055,1.1217,0.0000,0.0000
956,249.7532,79.8083,75.1300,11.5859,,false,9,0.008333,4.0232,0.0750,1.00,1.00,3.7050,22,1,40,0,53760,191,191,0,0,828604416,11.5859,0.0828,4.0232,1.2130,0.0000,0.0000
957,249.8361,79.8917,83.0219,11.6370,,false,10,0.008333,3.7093,0.0833,1.00,1.00,3.3936,22,1,40,0,53760,191,191,0,0,828604416,11.6370,0.0703,3.7093,1.1493,0.0000,0.0000
