frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:simulation.coast_bake_ms,scope:simulation.trajectory_prediction_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
346,7.0887,0.0000,21.5270,9.4418,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,247,365,8,24,124,0,16,16,8,0,24136,1051,43,40,915861504,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,14,18,18,18,18,17,24,13,12,0,0.0011,0.0035,0.0708,0.0598,0.0034,0.0000,0.0066,9.4418,0.0419,0.0000,0.0000,0.0000,2.1647,0.0371,0.3568,0.2810,0.8117,0.0149,0.0000,38.7763,0.0003
347,7.1105,0.0000,21.0955,10.0483,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,253,365,8,24,124,0,16,16,8,0,24389,1059,35,40,915861504,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,14,18,18,18,18,17,23,16,16,0,0.0002,0.0024,0.0638,0.1018,0.0086,0.0000,0.0031,10.0483,0.0579,0.0000,0.0000,0.0000,2.4222,0.1008,0.3452,0.1361,0.5217,0.0181,0.0000,38.4690,0.0011
348,7.1327,0.0000,22.6137,9.8001,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,253,365,8,24,124,0,16,16,8,0,24389,1067,27,40,915861504,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,14,18,18,18,18,17,23,16,16,0,0.0002,0.0017,0.0578,0.0456,0.0060,0.0000,0.0055,9.8001,0.0353,0.0000,0.0000,0.0000,1.8893,0.0711,0.3473,0.1912,0.5323,0.0443,0.0000,37.3455,0.0005
349,7.1535,0.0000,21.1096,9.6821,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,253,365,8,24,124,0,16,16,8,0,24389,1075,19,40,915861504,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,14,18,18,18,18,17,23,16,16,0,0.0004,0.0017,0.0489,0.0500,0.0073,0.0000,0.0045,9.6821,0.0251,0.0000,0.0000,0.0000,1.5768,0.0509,0.3256,0.1555,0.4895,0.0132,0.0000,39.0268,0.0004
350,7.1743,0.0000,20.5963,9.8726,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,253,365,8,24,124,0,16,16,8,0,24389,1083,11,40,915861504,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,14,18,18,18,18,17,23,16,16,0,0.0001,0.0039,0.0609,0.0877,0.0054,0.0000,0.0123,9.8726,0.0508,0.0000,0.0000,0.0000,1.7224,0.0726,0.3813,0.1932,0.5171,0.0161,0.0000,45.9280,0.0007
351,7.1948,0.0000,21.4694,8.7708,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,313,365,3,25,125,0,16,16,8,0,24702,1086,3,15,915865600,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,41,17,33,33,35,30,17,23,16,16,0,0.0002,0.0018,0.0510,0.0455,0.0045,0.0000,0.0050,8.7708,0.0326,0.0000,0.0000,0.0000,1.7363,0.0418,0.3608,0.2489,0.5990,0.0578,0.0000,39.6873,0.0006
352,7.2150,0.0000,21.3268,7.6475,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,334,365,0,26,126,0,16,16,3,0,25036,1086,0,0,915865600,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,41,17,33,33,33,34,32,27,16,16,0,0.0002,0.0033,0.0478,0.0607,0.0062,0.0000,0.0143,7.6475,0.0228,0.0000,0.0000,0.0000,1.6624,0.0276,0.3473,0.2174,0.6479,0.0077,0.0000,15.3873,0.0006
353,7.2434,0.0000,21.1382,14.6869,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,360,8,27,127,0,16,16,0,0,25331,1094,121,40,916013056,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,39,30,15,27,27,27,27,28,27,16,16,0,0.0002,0.0017,0.1728,0.1051,0.0130,0.0000,0.0052,14.6869,0.0868,0.0000,0.0000,0.0000,7.4181,0.0034,0.5885,0.3017,0.8944,0.0034,0.0000,0.0000,4.3862
354,7.2635,0.0000,24.1134,11.1395,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,303,360,8,45,145,0,16,16,8,0,25634,1102,113,40,919478272,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,30,15,27,27,27,27,28,27,16,16,0,0.0002,0.0017,0.0656,0.0940,0.0062,0.0000,0.0063,11.1395,0.0333,0.0000,0.0000,0.0000,2.6954,0.0760,0.5098,0.1817,0.6652,0.0363,0.0000,38.4187,0.0003
355,7.3032,0.0000,40.3897,10.0688,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,279,360,8,59,159,0,16,16,8,0,25913,1110,105,40,919478272,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,30,16,24,24,24,25,22,19,16,16,0,0.0002,0.0014,0.0405,0.0666,0.0071,0.0000,0.0059,10.0688,0.0130,0.0000,0.0000,0.0000,2.0182,0.0316,0.3626,0.1674,0.5895,0.0155,0.0000,39.3407,0.0007
